OBJECTID,Shape_Area,Subcuencas,Tipo,M1_count,M1_sum,M1_mean,M1_median,M1_stdev,M1_min,M1_max,M1_varianc,M2_count,M2_sum,M2_mean,M2_median,M2_stdev,M2_min,M2_max,M2_varianc,M3_count,M3_sum,M3_mean,M3_median,M3_stdev,M3_min,M3_max,M3_varianc,M4_count,M4_sum,M4_mean,M4_median,M4_stdev,M4_min,M4_max,M4_varianc,M5_count,M5_sum,M5_mean,M5_median,M5_stdev,M5_min,M5_max,M5_varianc,M6_count,M6_sum,M6_mean,M6_median,M6_stdev,M6_min,M6_max,M6_varianc,M7_count,M7_sum,M7_mean,M7_median,M7_stdev,M7_min,M7_max,M7_varianc,M8_count,M8_sum,M8_mean,M8_median,M8_stdev,M8_min,M8_max,M8_varianc,M9_count,M9_sum,M9_mean,M9_median,M9_stdev,M9_min,M9_max,M9_varianc,M10_count,M10_sum,M10_mean,M10_median,M10_stdev,M10_min,M10_max,M10_varian,M11_count,M11_sum,M11_mean,M11_median,M11_stdev,M11_min,M11_max,M11_varian,M12_count,M12_sum,M12_mean,M12_median,M12_stdev,M12_min,M12_max,M12_varian
19,38479136.53,De los Luises,2,0.311182077,11.90616139,38.26107697,37.08761406,2.470412828,33.89185333,39.10544968,6.102939542,0.311182077,34.88688758,112.1108515,99.06403732,15.49414308,88.55887604,119.3471985,240.0684699,0.311182077,35.88711629,115.3251392,117.1028748,20.72313997,90.50393677,145.8140717,429.4485302,0.311182077,21.71558026,69.7841614,67.3237648,13.50832376,43.48524475,72.97676086,182.4748107,0.311182077,5.165043447,16.59813927,15.39308596,2.482349688,12.26744843,18.08070946,6.162059975,0.311182077,0.655581831,2.106746758,1.959167838,0.328832832,1.496989131,2.224888325,0.108131031,0.311182077,0.033860415,0.108812228,0.110539209,0.019396306,0.093191624,0.143826976,0.000376217,0.311182077,0.028831238,0.092650703,0.105263829,0.071749082,0.058301218,0.230590537,0.005147931,0.311182077,0.017492991,0.056214649,0.082243077,0.041138679,0.052411065,0.116474673,0.001692391,0.311182077,0.166458157,0.53492206,0.465290636,0.094591113,0.390876681,0.593791604,0.008947479,0.311182077,0.190472068,0.612092026,0.573836356,0.09079057,0.467101008,0.663398504,0.008242928,0.311182077,2.823031511,9.07196051,7.881800413,2.183797218,5.417930126,10.25126553,4.768970289
20,52527197.77,Chica,2,0.424733683,16.45910405,38.75158647,36.4986515,3.44544811,33.89185333,39.10544968,11.87111268,0.424733683,42.77357874,100.7068204,95.07512665,8.612635835,88.55887604,101.5913773,74.17749603,0.424733683,38.94438248,91.69129744,99.25084686,11.56093524,90.50393677,107.997757,133.6552237,0.424733683,26.78883838,63.07208361,53.99177551,13.88665488,43.48524475,64.49830627,192.8391838,0.424733683,7.511901561,17.68614512,15.17407894,3.841741461,12.26744843,18.08070946,14.75897746,0.424733683,0.802956596,1.890494274,1.708068311,0.278986832,1.496989131,1.919147491,0.077833652,0.424733683,0.039972198,0.094111204,0.099965882,0.008953648,0.093191624,0.106740139,8.02E-05,0.424733683,0.026282255,0.061879376,0.084660374,0.034839331,0.058301218,0.111019529,0.001213779,0.424733683,0.023978071,0.056454366,0.082196787,0.03936828,0.052411065,0.111982509,0.001549861,0.424733683,0.183347136,0.431675526,0.412761495,0.028925519,0.390876681,0.434646308,0.000836686,0.424733683,0.218272415,0.513904179,0.492206588,0.03318246,0.467101008,0.517312169,0.001101076,0.424733683,2.933748048,6.907264867,6.216820717,1.055906861,5.417930126,7.015711308,1.1149393
17,144421961.6,Q. Carnero,2,1.168207647,47.44318649,40.61194652,39.26353455,5.138297006,35.2795639,50.7298584,26.40209612,1.168207647,148.419715,127.049087,123.3396645,17.14799406,96.53669739,145.3867035,294.0537003,1.168207647,165.543941,141.7076334,146.2845917,14.64140392,126.2079926,168.3612518,214.3707087,1.168207647,94.35940989,80.77280621,81.61876678,11.36510756,70.14922333,102.0306396,129.1656698,1.168207647,18.88825618,16.16857776,15.68890572,1.842021555,12.32091141,17.69506836,3.39304341,1.168207647,3.481685659,2.980365407,2.985440016,1.030665111,1.999188185,5.143193245,1.062270572,1.168207647,0.156236391,0.133740257,0.149481058,0.041215034,0.100979693,0.205274478,0.001698679,1.168207647,0.182372608,0.156113177,0.223530993,0.08720748,0.087177441,0.284021497,0.007605145,1.168207647,0.087912895,0.075254511,0.092476856,0.070617739,0.047305647,0.230535284,0.004986865,1.168207647,0.961468475,0.823028746,0.910840422,0.284592139,0.495934963,1.252763271,0.080992686,1.168207647,1.071067935,0.916847221,0.835199833,0.361106916,0.630360544,1.590573072,0.130398205,1.168207647,13.25442796,11.34595206,10.53085756,1.942656018,8.747889519,13.99339962,3.773912404
18,66779109.36,De Arcillas,2,0.540109863,20.53687357,38.0235115,38.05059052,2.31553768,36.1246376,41.55603027,5.361714745,0.540109863,62.99743803,116.6381923,119.3471985,13.23844308,96.53669739,127.3321304,175.2563751,0.540109863,70.92788119,131.3212109,145.8140717,17.99856757,126.2079926,158.4442139,323.9484345,0.540109863,39.74392502,73.58489036,72.97676086,8.125749769,70.14922333,87.21976471,66.02780931,0.540109863,8.590676069,15.90542344,16.02198792,0.885343769,14.764184,16.92301178,0.78383359,0.540109863,1.218067259,2.255221286,2.224888325,0.513328511,1.999188185,3.106129885,0.26350616,0.540109863,0.063529974,0.11762417,0.114338279,0.018022419,0.100979693,0.143826976,0.000324808,0.540109863,0.06344431,0.117465565,0.099508129,0.068403458,0.087177441,0.230590537,0.004679033,0.540109863,0.033122581,0.061325637,0.052503645,0.03324557,0.047305647,0.116474673,0.001105268,0.540109863,0.320703117,0.593773858,0.593791604,0.12709404,0.495934963,0.790969789,0.016152895,0.540109863,0.359156902,0.664970087,0.663398504,0.054145462,0.630360544,0.752118826,0.002931731,0.540109863,5.431236069,10.05579873,10.25126553,0.813059991,8.747889519,10.53991222,0.661066548
23,1504428260,Dren Sechura,1,13,210.7572737,16.21209797,15.23124218,3.803230566,9.903131485,24.49346924,14.46456274,13,329.6135597,25.35488921,23.46754646,8.597058302,14.42638206,43.57652283,73.90941144,13,353.0542498,27.15801921,22.75573158,20.40781994,8.128354073,90.33612823,416.4791147,13,167.243937,12.86491823,10.2623539,7.902535251,4.142687798,35.22702789,62.4500634,13,61.19712317,4.707471013,4.123013973,2.551895568,1.418783188,9.320019722,6.512170992,13,8.025448591,0.617342199,0.316287011,0.556229416,0.12268129,2.211403608,0.309391163,13,1.534674857,0.118051912,0.074568063,0.09269427,0.035150975,0.357472628,0.008592228,13,0.599843868,0.046141836,0.036642626,0.043695991,0.003987338,0.182497874,0.00190934,13,0.434655588,0.033435045,0.027265185,0.029744469,0.000696669,0.099323444,0.000884733,13,3.619644865,0.27843422,0.2487216,0.166846245,0.107201397,0.734648883,0.02783767,13,6.528580517,0.502198501,0.43541351,0.287621813,0.138685316,1.253364444,0.082726307,13,35.98095345,2.76776565,2.263357401,1.298179914,1.127429843,5.854830742,1.68527109
4,590515313,Las Gallegas,3,2,220.3822098,110.1911049,110.1911049,43.70402145,66.48708344,153.8951263,1910.041491,2,464.6397095,232.3198547,232.3198547,61.52618408,170.7936707,293.8460388,3785.471328,2,613.5855103,306.7927551,306.7927551,35.73623657,271.0565186,342.5289917,1277.078604,2,213.8991928,106.9495964,106.9495964,47.5243721,59.4252243,154.4739685,2258.565944,2,64.72671509,32.36335754,32.36335754,15.78779984,16.57555771,48.15115738,249.2546236,2,9.624844551,4.812422276,4.812422276,0.510565758,4.301856518,5.322988033,0.260677393,2,1.908495754,0.954247877,0.954247877,0.534079388,0.420168489,1.488327265,0.285240792,2,2.272773415,1.136386707,1.136386707,0.693408296,0.442978412,1.829795003,0.480815064,2,5.713655949,2.856827974,2.856827974,1.97779727,0.879030704,4.834625244,3.911682041,2,21.38557196,10.69278598,10.69278598,7.849875689,2.84291029,18.54266167,61.62054833,2,29.70975184,14.85487592,14.85487592,12.58415568,2.270720243,27.4390316,158.3609741,2,77.83942032,38.91971016,38.91971016,21.39591408,17.52379608,60.31562424,457.7851392
21,2422672503,Virrilá,1,20,560.7971945,28.03985972,19.09726143,16.1711123,8.403503418,60.09035492,261.504873,20,751.1644578,37.55822289,27.38984299,27.12137727,6.808149815,104.6333313,735.5691051,20,663.3250742,33.16625371,28.98598862,19.24565711,8.368125916,96.31748199,370.3953177,20,237.7045021,11.88522511,11.0434804,6.715850007,6.537251949,39.1087532,45.10264131,20,66.12857771,3.306428885,2.601500392,1.647774102,1.444754839,8.263760567,2.71515949,20,40.8145811,2.040729055,1.549486816,1.505178421,0.40757674,5.997004986,2.265562078,20,2.198998643,0.109949932,0.074740507,0.093783163,0.019659862,0.358242333,0.008795282,20,1.102837922,0.055141896,0.052475898,0.026233881,0.020932525,0.12616469,0.000688217,20,3.32803316,0.166401658,0.032115823,0.207999839,0.005093885,0.575321198,0.043263933,20,4.383047074,0.219152354,0.193938784,0.082395344,0.110993624,0.446287453,0.006788993,20,8.341381073,0.417069054,0.408768833,0.105165222,0.281890571,0.803221762,0.011059724,20,43.95655084,2.197827542,2.244508386,0.367461608,1.459217668,2.816032648,0.135028034
22,1480546016,Ejidos,2,12,531.0737305,44.25614421,44.40150452,15.20774353,16.82873917,65.57474518,231.2754634,12,1267.246956,105.603913,103.0948067,28.91057048,58.40071106,160.0154114,835.8210855,12,2075.435692,172.9529743,184.1802216,65.56835555,66.23027802,281.802948,4299.209249,12,695.7522182,57.97935152,50.68144798,24.82702836,28.34145164,110.1320038,616.3813371,12,126.8771334,10.57309445,10.53703976,3.975053408,4.055093765,16.89733696,15.8010496,12,24.76515704,2.063763087,1.561062574,1.270671745,0.703777432,4.814881802,1.614606683,12,1.777906545,0.148158879,0.128548864,0.070779475,0.072040811,0.333011299,0.005009734,12,2.12748849,0.177290708,0.176388703,0.09630135,0.030811772,0.383402944,0.00927395,12,4.150707025,0.345892252,0.273619443,0.247544954,0.044365305,0.848778248,0.061278504,12,17.27106747,1.439255623,1.437378824,0.979892525,0.356764376,2.838768005,0.960189362,12,14.04621521,1.170517934,1.17736581,0.657327219,0.438425869,2.333017588,0.432079073,12,88.62354708,7.38529559,7.163881302,2.633591729,3.425249577,11.32287788,6.935805396
11,89703202.92,Q. Las Damas,2,2,161.1479378,80.57396889,80.57396889,19.08936882,61.48460007,99.66333771,364.404002,2,368.505661,184.2528305,184.2528305,39.73705292,144.5157776,223.9898834,1579.033375,2,510.2377777,255.1188889,255.1188889,26.74460602,228.3742828,281.8634949,715.2739511,2,161.8969955,80.94849777,80.94849777,25.28995895,55.65853882,106.2384567,639.5820239,2,44.19126511,22.09563255,22.09563255,5.586662292,16.50897026,27.68229485,31.21079557,2,8.748027325,4.374013662,4.374013662,0.152006388,4.222007275,4.52602005,0.023105942,2,1.207697749,0.603848875,0.603848875,0.158682823,0.445166051,0.762531698,0.025180238,2,1.162334234,0.581167117,0.581167117,0.192463025,0.388704091,0.773630142,0.037042016,2,2.254403114,1.127201557,1.127201557,0.631584167,0.49561739,1.758785725,0.398898561,2,10.70255852,5.351279259,5.351279259,2.694407463,2.656871796,8.045686722,7.259831577,2,8.816628218,4.408314109,4.408314109,2.564205289,1.84410882,6.972519398,6.575148764,2,45.93007851,22.96503925,22.96503925,9.520525932,13.44451332,32.48556519,90.64041403
12,234114816.9,,2,2,106.7993851,53.39969254,53.39969254,3.374523163,50.02516937,56.7742157,11.38740658,2,184.6393967,92.31969833,92.31969833,7.264705658,85.05499268,99.58440399,52.7759483,2,459.8246918,229.9123459,229.9123459,28.70575714,201.2065887,258.618103,824.020493,2,82.45679855,41.22839928,41.22839928,0.823797226,40.40460205,42.0521965,0.678641869,2,20.34212399,10.17106199,10.17106199,0.782935619,9.388126373,10.95399761,0.612988184,2,4.034864306,2.017432153,2.017432153,0.160998166,1.856433988,2.178430319,0.025920409,2,0.318254054,0.159127027,0.159127027,0.033596769,0.125530258,0.192723796,0.001128743,2,0.266188487,0.133094244,0.133094244,0.052368663,0.08072558,0.185462907,0.002742477,2,0.670840889,0.335420445,0.335420445,0.037192896,0.298227549,0.372613341,0.001383312,2,1.852349937,0.926174968,0.926174968,0.398626,0.527548969,1.324800968,0.158902688,2,1.402177811,0.701088905,0.701088905,0.240615666,0.460473239,0.941704571,0.057895899,2,15.07019806,7.53509903,7.53509903,2.153026581,5.382072449,9.68812561,4.635523458
9,230784680.2,Río Seco,3,1.871017693,93.79732817,50.13171629,47.76507759,8.613798991,38.99699402,65.57474518,74.19753305,1.871017693,170.6954898,91.23136058,79.91197586,33.83160193,51.59541702,150.2866821,1144.577289,1.871017693,359.1370991,191.9474628,188.1028061,54.04242132,107.6702728,251.6891632,2920.583302,1.871017693,89.34226443,47.75062511,48.10751724,6.738124546,40.02742767,60.9743576,45.40232239,1.871017693,15.89339844,8.494520658,8.429862022,1.843270657,7.118852615,12.21504021,3.397646715,1.871017693,2.097369183,1.120977739,1.082060724,0.951833949,0.703777432,3.005724907,0.905987866,1.871017693,0.228572314,0.1221647,0.111950826,0.04279677,0.072040811,0.20511122,0.001831564,1.871017693,0.330766942,0.176784508,0.145266928,0.059858872,0.134067625,0.299301803,0.003583085,1.871017693,1.232923343,0.658958676,0.569106191,0.169883061,0.388890982,0.883350194,0.028860254,1.871017693,4.255009921,2.274168725,2.273793817,0.348458603,1.532914042,2.535281181,0.121423398,1.871017693,3.091121945,1.652107276,1.672969878,0.262960746,1.258378863,1.968720078,0.069148354,1.871017693,12.29523031,6.571413173,6.985757589,1.107679871,5.202909946,8.662813187,1.226954698
